

Lista;V=10;gestosc=25
nr;BFS;DFS;Dijkstra;BellmanFord
12;9619;13445;20088;26394;
13;9874;13249;20128;26405;
14;9772;13284;20355;26315;
15;9859;13328;19839;25959;
16;9767;13264;19845;25896;
17;9717;13200;20098;25631;
18;9669;13297;19893;26069;
19;9678;13328;20035;25965;
20;9667;13228;20084;25679;
21;9692;13065;20228;26080;
22;28356;15150;63004;30122;
23;14120;13517;21318;26485;
24;10359;13378;20590;25973;
25;9888;13453;20049;25706;
26;9813;15456;21055;25541;
27;9795;13355;20795;25961;
28;9726;13438;20182;25843;
29;11579;13411;20093;25863;
30;16070;13970;21442;25897;
31;13150;13363;20115;27575;
32;18337;37771;30307;39016;
33;12118;13617;20397;26051;
34;10221;13277;25104;26335;
35;11362;13151;20886;27650;
36;10806;13278;20211;26471;
37;9853;13450;20183;25922;
38;9787;13160;20736;25712;
39;14947;14127;20875;25948;
40;10689;13505;20002;25393;
41;10194;13436;20264;26377;
42;10125;13020;20141;25656;
43;9989;13022;20380;26236;
44;37855;19240;23267;26220;
45;12562;13390;21388;26499;
46;10295;13249;20486;26095;
47;10118;13571;20265;26216;
48;10012;13306;20460;25881;
49;10962;13484;20049;25838;
50;9871;13445;20205;26225;
51;9893;13281;20414;26330;
52;10038;13295;20550;26538;
53;10005;13381;19987;26032;
54;9861;13366;19915;26166;
55;9837;13278;20206;25687;
56;9572;13017;20317;25913;
57;10889;13132;20098;26275;
58;9763;13091;20759;26069;
59;9953;13140;20002;26079;
60;10301;13315;20337;26014;
61;10151;13301;20628;26260;
62;46751;27202;23426;50552;
63;14563;13860;20847;26642;
64;11476;13524;21368;25516;
65;10623;13508;20429;27155;
66;14239;13807;22041;28573;
67;14790;13807;21103;26535;
68;10980;13610;21289;26669;
69;10291;13194;20635;26845;
70;10019;13399;20933;25853;
71;9957;13410;19871;26602;
72;14418;13766;21262;26390;
73;10700;13170;21055;26253;
74;10127;13346;20824;26112;
75;11966;13550;20184;26828;
76;12456;17200;21997;58544;
77;14636;14004;21625;26576;
78;10749;13325;20364;26114;
79;10134;13415;20187;26149;
80;10460;13372;20997;29778;
81;10247;13414;20239;26358;
82;10164;13461;20816;25884;
83;9842;13217;20346;26599;
84;10007;13416;20620;25571;
85;10069;13361;20831;25780;
86;10688;13588;20173;25925;
87;10031;13296;20375;26070;
88;10725;13572;20353;26218;
89;10400;13219;20654;26642;
90;10960;56448;32626;48782;
91;13946;13723;20500;26396;
92;10505;13244;20193;26228;
93;9979;13417;20008;26002;
94;9915;13297;20510;26030;
95;9789;13212;20296;26007;
96;9709;13147;20101;25897;
97;9719;13255;20747;26051;
98;9718;13227;20328;26393;
99;9648;13235;20706;25597;
100;9757;13305;20017;26280;



Lista;V=50;gestosc=25
nr;BFS;DFS;Dijkstra;BellmanFord
1;37128;70409;127084;313430;
2;34048;67327;127409;311558;
3;33294;70711;126904;314292;
4;49678;68776;126340;310635;
5;34379;67839;128121;312276;
6;38755;68215;127542;374312;
7;36762;67577;127391;310672;
8;33762;65367;124861;311172;
9;34213;67246;127664;310441;
10;40571;68804;125411;314733;
11;34381;67178;127987;314987;
12;33753;69105;127203;311586;
13;33761;69016;125372;311347;
14;33666;96680;125491;308698;
15;34074;68852;125568;451812;
16;41686;67717;128390;310347;
17;37878;67233;148083;313055;
18;38345;65670;126382;315027;
19;38742;66500;128165;312867;
20;34506;68924;134907;317500;
21;41953;70143;128009;310361;
22;40622;96453;128182;311892;
23;34779;68132;126550;311984;
24;33393;66938;126026;314388;
25;33271;68375;125237;314101;
26;33458;68621;126140;309201;
27;33353;69020;126155;314124;
28;84633;107329;194871;357153;
29;36485;68793;128727;312541;
30;34059;66291;124585;345522;
31;35557;163496;129116;315487;
32;37113;71492;125830;310020;
33;33853;67153;124500;309594;
34;51774;122131;129863;315945;
35;35128;67241;128096;310452;
36;33967;67558;125442;311593;
37;33611;68911;125329;310862;
38;33447;69208;126163;312677;
39;37599;67325;127151;311652;
40;57856;69855;126657;535601;
41;50689;69947;126448;310443;
42;33814;65085;126403;312665;
43;38292;67079;127274;363300;
44;52428;68749;141419;363617;
45;35831;70729;128078;316645;
46;44151;126837;132405;352087;
47;38115;67560;165578;328800;
48;36031;65839;127857;313467;
49;34732;68492;128811;312446;
50;34043;67026;126856;311952;
51;34415;68861;126706;310880;
52;34316;67987;170356;540018;
53;35739;70300;126474;310382;
54;34563;66612;127025;310486;
55;38956;66922;126713;310736;
56;38370;68388;125676;310201;
57;34000;68789;126094;310104;
58;34616;67421;125937;513117;
59;35711;67341;125780;310735;
60;33474;69942;125467;309812;
61;33423;70198;125810;310829;
62;33587;68585;126027;312027;
63;36476;68728;126131;310112;
64;38767;95141;126000;314521;
65;36691;119319;239517;391944;
66;35573;66245;126071;312047;
67;33695;66267;125280;360820;
68;35144;68644;130045;387085;
69;36111;65340;125785;311309;
70;39217;136669;252306;341634;
71;36138;67609;125257;310345;
72;33511;66335;125208;309993;
73;33507;64644;124135;309258;
74;33604;67142;125638;309310;
75;33408;65304;124017;310211;
76;34301;69677;203825;454942;
77;36396;66816;125336;310835;
78;34402;68106;126801;311428;
79;34201;67661;126225;314775;
80;34270;69500;127566;319110;
81;34574;68598;127167;312257;
82;35943;111811;128733;435858;
83;35688;68112;125761;310086;
84;33647;69791;125559;311218;
85;33695;67719;124253;310569;
86;33497;69839;125934;309896;
87;33073;66835;158351;314894;
88;35724;67381;125214;312512;
89;56325;75503;131741;425257;
90;41576;66372;128097;453545;
91;39043;68636;127091;313886;
92;33915;68533;125314;311830;
93;34176;68408;127041;315944;
94;37261;68790;131849;555652;
95;40763;69273;127240;313818;
96;34725;67745;126154;313485;
97;34258;66883;126556;312276;
98;33982;68787;128009;311783;
99;33920;67062;125692;311315;
